tarih,ilce,bildirimsiz_sum,bildirimli_sum
2021-07-06,manisa-akhisar,11,0
2021-07-07,manisa-akhisar,11,1
2021-07-08,manisa-akhisar,15,0
2021-07-09,manisa-akhisar,17,1
2021-07-10,manisa-akhisar,18,0
2021-07-11,manisa-akhisar,9,2
2021-07-12,manisa-akhisar,11,0
2021-07-13,manisa-akhisar,13,0
2021-07-14,manisa-akhisar,10,0
2021-07-15,manisa-akhisar,9,0
2021-07-16,manisa-akhisar,14,0
2021-07-17,manisa-akhisar,14,0
2021-07-18,manisa-akhisar,17,0
2021-07-19,manisa-akhisar,15,0
2021-07-20,manisa-akhisar,13,0
2021-07-21,manisa-akhisar,10,0
2021-07-22,manisa-akhisar,16,0
2021-07-23,manisa-akhisar,24,0
2021-07-24,manisa-akhisar,17,0
2021-07-25,manisa-akhisar,12,0
2021-07-26,manisa-akhisar,17,2
2021-07-27,manisa-akhisar,13,4
2021-07-28,manisa-akhisar,9,2
2021-07-29,manisa-akhisar,16,2
2021-07-30,manisa-akhisar,9,5
2021-07-31,manisa-akhisar,14,2
2021-08-01,manisa-akhisar,16,2
2021-08-02,manisa-akhisar,26,1
2021-08-03,manisa-akhisar,25,0
2021-08-04,manisa-akhisar,22,3
2021-08-05,manisa-akhisar,24,3
2021-08-06,manisa-akhisar,16,1
2021-08-07,manisa-akhisar,27,1
2021-08-08,manisa-akhisar,19,1
2021-08-09,manisa-akhisar,9,1
2021-08-10,manisa-akhisar,15,2
2021-08-11,manisa-akhisar,11,0
2021-08-12,manisa-akhisar,8,1
2021-08-13,manisa-akhisar,11,2
2021-08-14,manisa-akhisar,13,3
2021-08-15,manisa-akhisar,7,3
2021-08-16,manisa-akhisar,7,2
2021-08-17,manisa-akhisar,11,0
2021-08-18,manisa-akhisar,9,0
2021-08-19,manisa-akhisar,6,0
2021-08-20,manisa-akhisar,3,0
2021-08-21,manisa-akhisar,1,0
2021-08-22,manisa-akhisar,7,2
2021-08-23,manisa-akhisar,5,0
2021-08-24,manisa-akhisar,7,2
2021-08-25,manisa-akhisar,12,2
2021-08-26,manisa-akhisar,5,3
2021-08-27,manisa-akhisar,14,0
2021-08-28,manisa-akhisar,10,1
2021-08-29,manisa-akhisar,9,2
2021-08-30,manisa-akhisar,7,1
2021-08-31,manisa-akhisar,4,1
2021-09-01,manisa-akhisar,12,0
2021-09-02,manisa-akhisar,9,0
2021-09-03,manisa-akhisar,12,0
2021-09-04,manisa-akhisar,4,2
2021-09-05,manisa-akhisar,1,2
2021-09-06,manisa-akhisar,9,1
2021-09-07,manisa-akhisar,12,2
2021-09-08,manisa-akhisar,10,1
2021-09-09,manisa-akhisar,12,1
2021-09-10,manisa-akhisar,3,3
2021-09-11,manisa-akhisar,9,0
2021-09-12,manisa-akhisar,3,1
2021-09-13,manisa-akhisar,7,1
2021-09-14,manisa-akhisar,4,1
2021-09-15,manisa-akhisar,6,0
2021-09-16,manisa-akhisar,7,3
2021-09-17,manisa-akhisar,6,3
2021-09-18,manisa-akhisar,8,2
2021-09-19,manisa-akhisar,9,1
2021-09-20,manisa-akhisar,6,0
2021-09-21,manisa-akhisar,16,0
2021-09-22,manisa-akhisar,8,0
2021-09-23,manisa-akhisar,19,1
2021-09-24,manisa-akhisar,9,0
2021-09-25,manisa-akhisar,11,1
2021-09-26,manisa-akhisar,11,1
2021-09-27,manisa-akhisar,11,2
2021-09-28,manisa-akhisar,11,1
2021-09-29,manisa-akhisar,8,1
2021-09-30,manisa-akhisar,11,0
2021-10-01,manisa-akhisar,6,1
2021-10-02,manisa-akhisar,9,0
2021-10-03,manisa-akhisar,1,2
2021-10-04,manisa-akhisar,4,0
2021-10-05,manisa-akhisar,4,0
2021-10-06,manisa-akhisar,7,0
2021-10-07,manisa-akhisar,6,1
2021-10-08,manisa-akhisar,6,1
2021-10-09,manisa-akhisar,5,2
2021-10-10,manisa-akhisar,7,1
2021-10-11,manisa-akhisar,5,4
2021-10-12,manisa-akhisar,24,5
2021-10-13,manisa-akhisar,15,2
2021-10-14,manisa-akhisar,12,2
2021-10-15,manisa-akhisar,30,2
2021-10-16,manisa-akhisar,28,1
2021-10-17,manisa-akhisar,14,6
2021-10-18,manisa-akhisar,12,1
2021-10-19,manisa-akhisar,8,1
2021-10-20,manisa-akhisar,8,1
2021-10-21,manisa-akhisar,11,2
2021-10-22,manisa-akhisar,10,4
2021-10-23,manisa-akhisar,9,0
2021-10-24,manisa-akhisar,9,1
2021-10-25,manisa-akhisar,12,3
2021-10-26,manisa-akhisar,7,4
2021-10-27,manisa-akhisar,11,3
2021-10-28,manisa-akhisar,10,2
2021-10-29,manisa-akhisar,10,0
2021-10-30,manisa-akhisar,9,2
2021-10-31,manisa-akhisar,7,1
2021-11-01,manisa-akhisar,8,1
2021-11-02,manisa-akhisar,6,2
2021-11-03,manisa-akhisar,8,0
2021-11-04,manisa-akhisar,8,1
2021-11-05,manisa-akhisar,8,1
2021-11-06,manisa-akhisar,2,1
2021-11-07,manisa-akhisar,8,1
2021-11-08,manisa-akhisar,5,1
2021-11-09,manisa-akhisar,2,1
2021-11-10,manisa-akhisar,11,0
2021-11-11,manisa-akhisar,4,0
2021-11-12,manisa-akhisar,2,0
2021-11-13,manisa-akhisar,8,1
2021-11-14,manisa-akhisar,3,0
2021-11-15,manisa-akhisar,4,0
2021-11-16,manisa-akhisar,8,5
2021-11-17,manisa-akhisar,5,1
2021-11-18,manisa-akhisar,7,0
2021-11-19,manisa-akhisar,3,1
2021-11-20,manisa-akhisar,5,0
2021-11-21,manisa-akhisar,3,0
2021-11-22,manisa-akhisar,4,0
2021-11-23,manisa-akhisar,7,0
2021-11-24,manisa-akhisar,21,0
2021-11-25,manisa-akhisar,8,0
2021-11-26,manisa-akhisar,12,1
2021-11-27,manisa-akhisar,6,0
2021-11-28,manisa-akhisar,9,1
2021-11-29,manisa-akhisar,22,0
2021-11-30,manisa-akhisar,37,0
2021-12-01,manisa-akhisar,15,0
2021-12-02,manisa-akhisar,13,1
2021-12-03,manisa-akhisar,9,0
2021-12-04,manisa-akhisar,16,0
2021-12-05,manisa-akhisar,7,1
2021-12-06,manisa-akhisar,8,3
2021-12-07,manisa-akhisar,10,4
2021-12-08,manisa-akhisar,12,1
2021-12-09,manisa-akhisar,10,2
2021-12-10,manisa-akhisar,14,0
2021-12-11,manisa-akhisar,6,1
2021-12-12,manisa-akhisar,16,3
2021-12-13,manisa-akhisar,22,1
2021-12-14,manisa-akhisar,7,2
2021-12-15,manisa-akhisar,15,0
2021-12-16,manisa-akhisar,2,2
2021-12-17,manisa-akhisar,6,1
2021-12-18,manisa-akhisar,12,0
2021-12-19,manisa-akhisar,15,1
2021-12-20,manisa-akhisar,4,3
2021-12-21,manisa-akhisar,8,2
2021-12-22,manisa-akhisar,5,1
2021-12-23,manisa-akhisar,4,0
2021-12-24,manisa-akhisar,6,6
2021-12-25,manisa-akhisar,4,5
2021-12-26,manisa-akhisar,6,1
2021-12-27,manisa-akhisar,4,3
2021-12-28,manisa-akhisar,5,2
2021-12-29,manisa-akhisar,8,0
2021-12-30,manisa-akhisar,4,3
2021-12-31,manisa-akhisar,2,1
2022-01-01,manisa-akhisar,5,0
2022-01-02,manisa-akhisar,8,1
2022-01-03,manisa-akhisar,3,1
2022-01-04,manisa-akhisar,5,1
2022-01-05,manisa-akhisar,7,1
2022-01-06,manisa-akhisar,6,2
2022-01-07,manisa-akhisar,6,0
2022-01-08,manisa-akhisar,4,0
2022-01-09,manisa-akhisar,9,0
2022-01-10,manisa-akhisar,6,1
2022-01-11,manisa-akhisar,8,0
2022-01-12,manisa-akhisar,29,2
2022-01-13,manisa-akhisar,21,3
2022-01-14,manisa-akhisar,5,3
2022-01-15,manisa-akhisar,5,3
2022-01-16,manisa-akhisar,6,5
2022-01-17,manisa-akhisar,6,2
2022-01-18,manisa-akhisar,19,0
2022-01-19,manisa-akhisar,5,0
2022-01-20,manisa-akhisar,7,0
2022-01-21,manisa-akhisar,6,3
2022-01-22,manisa-akhisar,5,0
2022-01-23,manisa-akhisar,6,0
2022-01-24,manisa-akhisar,4,0
2022-01-25,manisa-akhisar,5,0
2022-01-26,manisa-akhisar,10,1
2022-01-27,manisa-akhisar,2,1
2022-01-28,manisa-akhisar,3,1
2022-01-29,manisa-akhisar,8,1
2022-01-30,manisa-akhisar,2,4
2022-01-31,manisa-akhisar,6,0
2022-02-01,manisa-akhisar,18,0
2022-02-02,manisa-akhisar,12,0
2022-02-03,manisa-akhisar,18,1
2022-02-04,manisa-akhisar,6,2
2022-02-05,manisa-akhisar,8,0
2022-02-06,manisa-akhisar,1,1
2022-02-07,manisa-akhisar,6,1
2022-02-08,manisa-akhisar,15,0
2022-02-09,manisa-akhisar,34,4
2022-02-10,manisa-akhisar,9,7
2022-02-11,manisa-akhisar,3,1
2022-02-12,manisa-akhisar,5,1
2022-02-13,manisa-akhisar,7,0
2022-02-14,manisa-akhisar,5,0
2022-02-15,manisa-akhisar,8,0
2022-02-16,manisa-akhisar,1,0
2022-02-17,manisa-akhisar,6,0
2022-02-18,manisa-akhisar,5,0
2022-02-19,manisa-akhisar,6,3
2022-02-20,manisa-akhisar,3,1
2022-02-21,manisa-akhisar,5,3
2022-02-22,manisa-akhisar,4,2
2022-02-23,manisa-akhisar,10,2
2022-02-24,manisa-akhisar,19,6
2022-02-25,manisa-akhisar,10,2
2022-02-26,manisa-akhisar,9,2
2022-02-27,manisa-akhisar,5,2
2022-02-28,manisa-akhisar,10,2
2022-03-01,manisa-akhisar,7,2
2022-03-02,manisa-akhisar,6,1
2022-03-03,manisa-akhisar,8,4
2022-03-04,manisa-akhisar,4,2
2022-03-05,manisa-akhisar,5,1
2022-03-06,manisa-akhisar,8,2
2022-03-07,manisa-akhisar,7,5
2022-03-08,manisa-akhisar,7,0
2022-03-09,manisa-akhisar,9,0
2022-03-10,manisa-akhisar,10,6
2022-03-11,manisa-akhisar,15,1
2022-03-12,manisa-akhisar,10,5
2022-03-13,manisa-akhisar,11,4
2022-03-14,manisa-akhisar,11,6
2022-03-15,manisa-akhisar,11,1
2022-03-16,manisa-akhisar,6,1
2022-03-17,manisa-akhisar,4,1
2022-03-18,manisa-akhisar,7,2
2022-03-19,manisa-akhisar,6,1
2022-03-20,manisa-akhisar,5,3
2022-03-21,manisa-akhisar,10,1
2022-03-22,manisa-akhisar,10,2
2022-03-23,manisa-akhisar,11,2
2022-03-24,manisa-akhisar,4,3
2022-03-25,manisa-akhisar,14,6
2022-03-26,manisa-akhisar,4,2
2022-03-27,manisa-akhisar,6,0
2022-03-28,manisa-akhisar,10,2
2022-03-29,manisa-akhisar,7,2
2022-03-30,manisa-akhisar,4,2
2022-03-31,manisa-akhisar,6,1
2022-04-01,manisa-akhisar,12,1
2022-04-02,manisa-akhisar,20,1
2022-04-03,manisa-akhisar,9,2
2022-04-04,manisa-akhisar,14,2
2022-04-05,manisa-akhisar,7,2
2022-04-06,manisa-akhisar,10,1
2022-04-07,manisa-akhisar,17,1
2022-04-08,manisa-akhisar,10,2
2022-04-09,manisa-akhisar,13,3
2022-04-10,manisa-akhisar,7,3
2022-04-11,manisa-akhisar,13,1
2022-04-12,manisa-akhisar,10,1
2022-04-13,manisa-akhisar,7,2
2022-04-14,manisa-akhisar,7,5
2022-04-15,manisa-akhisar,7,1
2022-04-16,manisa-akhisar,7,5
2022-04-17,manisa-akhisar,7,4
2022-04-18,manisa-akhisar,13,2
2022-04-19,manisa-akhisar,6,2
2022-04-20,manisa-akhisar,9,2
2022-04-21,manisa-akhisar,11,1
2022-04-22,manisa-akhisar,4,2
2022-04-23,manisa-akhisar,10,3
2022-04-24,manisa-akhisar,8,2
2022-04-25,manisa-akhisar,8,2
2022-04-26,manisa-akhisar,8,0
2022-04-27,manisa-akhisar,5,0
2022-04-28,manisa-akhisar,7,0
2022-04-29,manisa-akhisar,6,0
2022-04-30,manisa-akhisar,8,0
2022-05-01,manisa-akhisar,5,0
2022-05-02,manisa-akhisar,6,0
2022-05-03,manisa-akhisar,3,0
2022-05-04,manisa-akhisar,2,0
2022-05-05,manisa-akhisar,6,1
2022-05-06,manisa-akhisar,5,1
2022-05-07,manisa-akhisar,10,1
2022-05-08,manisa-akhisar,2,1
2022-05-09,manisa-akhisar,8,0
2022-05-10,manisa-akhisar,10,2
2022-05-11,manisa-akhisar,6,1
2022-05-12,manisa-akhisar,8,1
2022-05-13,manisa-akhisar,8,0
2022-05-14,manisa-akhisar,8,2
2022-05-15,manisa-akhisar,7,1
2022-05-16,manisa-akhisar,19,1
2022-05-17,manisa-akhisar,7,1
2022-05-18,manisa-akhisar,18,0
2022-05-19,manisa-akhisar,16,0
2022-05-20,manisa-akhisar,8,0
2022-05-21,manisa-akhisar,9,1
2022-05-22,manisa-akhisar,8,0
2022-05-23,manisa-akhisar,8,1
2022-05-24,manisa-akhisar,9,0
2022-05-25,manisa-akhisar,6,0
2022-05-26,manisa-akhisar,7,0
2022-05-27,manisa-akhisar,9,3
2022-05-28,manisa-akhisar,3,2
2022-05-29,manisa-akhisar,5,5
2022-05-30,manisa-akhisar,9,3
2022-05-31,manisa-akhisar,8,1
2022-06-01,manisa-akhisar,6,2
2022-06-02,manisa-akhisar,9,0
2022-06-03,manisa-akhisar,5,0
2022-06-04,manisa-akhisar,3,2
2022-06-05,manisa-akhisar,9,0
2022-06-06,manisa-akhisar,8,0
2022-06-07,manisa-akhisar,7,3
2022-06-08,manisa-akhisar,7,2
2022-06-09,manisa-akhisar,10,0
2022-06-10,manisa-akhisar,6,0
2022-06-11,manisa-akhisar,7,0
2022-06-12,manisa-akhisar,7,6
2022-06-13,manisa-akhisar,10,2
2022-06-14,manisa-akhisar,12,1
2022-06-15,manisa-akhisar,10,0
2022-06-16,manisa-akhisar,9,4
2022-06-17,manisa-akhisar,6,0
2022-06-18,manisa-akhisar,9,0
2022-06-19,manisa-akhisar,9,0
2022-06-20,manisa-akhisar,13,1
2022-06-21,manisa-akhisar,7,0
2022-06-22,manisa-akhisar,10,1
2022-06-23,manisa-akhisar,33,1
2022-06-24,manisa-akhisar,15,0
2022-06-25,manisa-akhisar,12,0
2022-06-26,manisa-akhisar,10,0
2022-06-27,manisa-akhisar,17,2
2022-06-28,manisa-akhisar,15,1
2022-06-29,manisa-akhisar,13,0
2022-06-30,manisa-akhisar,3,0
2022-07-01,manisa-akhisar,11,0
2022-07-02,manisa-akhisar,18,0
2022-07-03,manisa-akhisar,10,0
2022-07-04,manisa-akhisar,17,0
2022-07-05,manisa-akhisar,14,0
2022-07-06,manisa-akhisar,11,0
2022-07-07,manisa-akhisar,14,0
2022-07-08,manisa-akhisar,5,1
2022-07-09,manisa-akhisar,15,0
2022-07-10,manisa-akhisar,8,0
2022-07-11,manisa-akhisar,3,0
2022-07-12,manisa-akhisar,9,0
2022-07-13,manisa-akhisar,7,0
2022-07-14,manisa-akhisar,11,0
2022-07-15,manisa-akhisar,10,0
2022-07-16,manisa-akhisar,14,0
2022-07-17,manisa-akhisar,24,0
2022-07-18,manisa-akhisar,28,0
2022-07-19,manisa-akhisar,14,6
2022-07-20,manisa-akhisar,12,4
2022-07-21,manisa-akhisar,10,5
2022-07-22,manisa-akhisar,13,3
2022-07-23,manisa-akhisar,16,2
2022-07-24,manisa-akhisar,9,0
2022-07-25,manisa-akhisar,19,0
2022-07-26,manisa-akhisar,5,0
2022-07-27,manisa-akhisar,7,0
2022-07-28,manisa-akhisar,9,0
2022-07-29,manisa-akhisar,7,0
2022-07-30,manisa-akhisar,4,0
2022-07-31,manisa-akhisar,12,0
2022-08-01,manisa-akhisar,11,2
2022-08-02,manisa-akhisar,13,3
2022-08-03,manisa-akhisar,9,1
2022-08-04,manisa-akhisar,7,0
2022-08-05,manisa-akhisar,9,0
2022-08-06,manisa-akhisar,5,0
2022-08-07,manisa-akhisar,7,0
2022-08-08,manisa-akhisar,8,2
2022-08-09,manisa-akhisar,3,0
2022-08-10,manisa-akhisar,7,0
2022-08-11,manisa-akhisar,8,0
2022-08-12,manisa-akhisar,9,0
2022-08-13,manisa-akhisar,7,0
2022-08-14,manisa-akhisar,6,0
2022-08-15,manisa-akhisar,12,0
2022-08-16,manisa-akhisar,8,1
2022-08-17,manisa-akhisar,4,1
2022-08-18,manisa-akhisar,3,1
2022-08-19,manisa-akhisar,6,0
2022-08-20,manisa-akhisar,5,1
2022-08-21,manisa-akhisar,6,1
2022-08-22,manisa-akhisar,6,1
2022-08-23,manisa-akhisar,4,1
2022-08-24,manisa-akhisar,16,1
2022-08-25,manisa-akhisar,13,3
2022-08-26,manisa-akhisar,29,4
2022-08-27,manisa-akhisar,16,0
2022-08-28,manisa-akhisar,9,0
2022-08-29,manisa-akhisar,8,0
2022-08-30,manisa-akhisar,20,0
2022-08-31,manisa-akhisar,32,2
2022-09-01,manisa-akhisar,25,2
2022-09-02,manisa-akhisar,8,3
2022-09-03,manisa-akhisar,6,2
2022-09-04,manisa-akhisar,7,2
2022-09-05,manisa-akhisar,18,1
2022-09-06,manisa-akhisar,11,1
2022-09-07,manisa-akhisar,10,1
2022-09-08,manisa-akhisar,8,2
2022-09-09,manisa-akhisar,9,1
2022-09-10,manisa-akhisar,6,2
2022-09-11,manisa-akhisar,6,2
2022-09-12,manisa-akhisar,7,1
2022-09-13,manisa-akhisar,8,1
2022-09-14,manisa-akhisar,5,0
2022-09-15,manisa-akhisar,11,2
2022-09-16,manisa-akhisar,3,3
2022-09-17,manisa-akhisar,6,4
2022-09-18,manisa-akhisar,4,2
2022-09-19,manisa-akhisar,5,6
2022-09-20,manisa-akhisar,7,2
2022-09-21,manisa-akhisar,10,1
2022-09-22,manisa-akhisar,3,1
2022-09-23,manisa-akhisar,10,2
2022-09-24,manisa-akhisar,7,1
2022-09-25,manisa-akhisar,6,1
2022-09-26,manisa-akhisar,4,3
2022-09-27,manisa-akhisar,7,2
2022-09-28,manisa-akhisar,10,3
2022-09-29,manisa-akhisar,2,1
2022-09-30,manisa-akhisar,8,3
2022-10-01,manisa-akhisar,9,2
2022-10-02,manisa-akhisar,11,1
2022-10-03,manisa-akhisar,6,4
2022-10-04,manisa-akhisar,8,2
2022-10-05,manisa-akhisar,8,3
2022-10-06,manisa-akhisar,9,3
2022-10-07,manisa-akhisar,5,1
2022-10-08,manisa-akhisar,6,0
2022-10-09,manisa-akhisar,2,2
2022-10-10,manisa-akhisar,3,1
2022-10-11,manisa-akhisar,8,0
2022-10-12,manisa-akhisar,2,1
2022-10-13,manisa-akhisar,9,0
2022-10-14,manisa-akhisar,2,0
2022-10-15,manisa-akhisar,3,0
2022-10-16,manisa-akhisar,8,0
2022-10-17,manisa-akhisar,6,1
2022-10-18,manisa-akhisar,5,1
2022-10-19,manisa-akhisar,2,0
2022-10-20,manisa-akhisar,5,0
2022-10-21,manisa-akhisar,7,0
2022-10-22,manisa-akhisar,8,1
2022-10-23,manisa-akhisar,4,0
2022-10-24,manisa-akhisar,1,0
2022-10-25,manisa-akhisar,3,0
2022-10-26,manisa-akhisar,8,0
2022-10-27,manisa-akhisar,4,2
2022-10-28,manisa-akhisar,4,3
2022-10-29,manisa-akhisar,3,1
2022-10-30,manisa-akhisar,8,11
2022-10-31,manisa-akhisar,5,4
2022-11-01,manisa-akhisar,2,1
2022-11-02,manisa-akhisar,3,0
2022-11-03,manisa-akhisar,4,0
2022-11-04,manisa-akhisar,6,0
2022-11-05,manisa-akhisar,5,0
2022-11-06,manisa-akhisar,7,1
2022-11-07,manisa-akhisar,7,1
2022-11-08,manisa-akhisar,7,1
2022-11-09,manisa-akhisar,2,2
2022-11-10,manisa-akhisar,2,1
2022-11-11,manisa-akhisar,7,1
2022-11-12,manisa-akhisar,9,1
2022-11-13,manisa-akhisar,1,1
2022-11-14,manisa-akhisar,3,4
2022-11-15,manisa-akhisar,2,3
2022-11-16,manisa-akhisar,3,3
2022-11-17,manisa-akhisar,4,1
2022-11-18,manisa-akhisar,7,0
2022-11-19,manisa-akhisar,8,2
2022-11-20,manisa-akhisar,11,0
2022-11-21,manisa-akhisar,15,2
2022-11-22,manisa-akhisar,14,4
2022-11-23,manisa-akhisar,8,1
2022-11-24,manisa-akhisar,14,2
2022-11-25,manisa-akhisar,13,1
2022-11-26,manisa-akhisar,2,11
2022-11-27,manisa-akhisar,4,2
2022-11-28,manisa-akhisar,4,13
